businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError,homepageUrl,careerUrls,detailJobUrls,careerPageFound,atsDetected,jobPostingDetected,detailedJobCount,auditStatus,auditNote
"New York State Solar Farm","new york state solar farm","1778","1","884","2026-04-18","2026-07-29","North Salem | Scarsdale | Tarrytown | Tuckahoe | White Plains | New Rochelle | Bronxville | Pleasantville","Westchester | Putnam | Rockland | Orange | Sullivan | Delaware | Ulster | Dutchess","2710","Find official domain, then audit careers/jobs pages for detailed solar offers.","new york state solar farm","nyssf.com","https://nyssf.com","New York State Solar Farm","","candidate_found","","https://nyssf.com/","https://nyssf.com/careers/","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Mpower Solar LLC","mpower solar","661","1","632","2025-09-18","2026-07-08","Fresh Meadows | Jamaica | Whitestone | Richmond Hill | South Richmond Hill | Ozone Park | Bayside | Oakland Gardens","Queens | Kings | Richmond | Bronx | Westchester | Rockland","1954","Find official domain, then audit careers/jobs pages for detailed solar offers.","mpower solar","mpowersolar.com","https://mpowersolar.com","Mpower Solar","","candidate_found","","https://www.mpowersolar.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Voltaic Solaire","voltaic solaire","357","1","283","2026-06-02","2026-07-06","Jamaica | Saint Albans | South Ozone Park | Howard Beach | Kew Gardens | South Richmond Hill | Richmond Hill | Queens Village","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Orange","907","Find official domain, then audit careers/jobs pages for detailed solar offers.","voltaic solaire","voltaicsolaire.com","https://voltaicsolaire.com","Voltaic Solaire","","candidate_found","","https://voltaicsolaire.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Onsite Energy, Inc.","onsite energy","220","1","211","2026-07-21","2026-07-13","Jamaica | Glen Oaks | Fresh Meadows | Springfield Gardens | Hollis | South Ozone Park | Ridgewood | Brooklyn","Queens | Kings | Richmond | Bronx | Westchester | Rockland | Putnam | Orange","691","Find official domain, then audit careers/jobs pages for detailed solar offers.","onsite energy","onsiteenergyexpo.com","https://onsiteenergyexpo.com","Onsite Energy","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Advanced Solar Solutions","advanced solar solutions","75","1","75","2026-05-29","2026-07-30","Flushing | Elmhurst | Hollis | West Hempstead | Fresh Meadows | Oakland Gardens | South Richmond Hill | Bayside","Queens | Nassau | Kings | Bronx","283","Find official domain, then audit careers/jobs pages for detailed solar offers.","advanced solar solutions","advancedsolarpermits.com","https://advancedsolarpermits.com","Advanced Solar Solutions","","candidate_found","","https://advancedsolarpermits.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Element Energy LLC","element energy","68","1","55","2025-12-09","2026-07-20","Stony Brook | Patchogue | Hampton Bays | Coram | Sag Harbor | Mattituck | Medford | Peconic","Suffolk | Nassau | Westchester","223","Find official domain, then audit careers/jobs pages for detailed solar offers.","element energy","elementenergy.com","https://elementenergy.com","Element Energy","","candidate_found","","https://elementenergy.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"High Peaks Solar","high peaks solar","217","1","28","2025-10-18","2026-05-28","Middletown | Walton | Schoharie | Tannersville | Greenville | Cornwallville | Berne | Coeymans Hollow","Orange | Delaware | Schoharie | Greene | Albany | Columbia | Rensselaer | Dutchess","142","Find official domain, then audit careers/jobs pages for detailed solar offers.","high peaks solar","highpeakssolar.com","https://highpeakssolar.com","High Peaks Solar","","candidate_found","","https://highpeakssolar.com/","https://highpeakssolar.com/careers/","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"National Solar Technologies","national solar technologies","25","1","19","2026-05-08","2026-07-08","Stamford | Kingston | Delmar | Wilmington | East Syracuse | Red Creek | Oxford | Depew","Delaware | Ulster | Albany | Essex | Onondaga | Cayuga | Chenango | Erie","90","Find official domain, then audit careers/jobs pages for detailed solar offers.","national solar technologies","nstsolar.com","https://nstsolar.com","National Solar Technologies","","candidate_found","","https://www.nstsolar.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Bliss Solar, LLC","bliss solar","13","1","10","2026-05-28","2025-08-12","Corona | Jamaica | Ridgewood | Queens Village | Ozone Park | Astoria | Maspeth | Jackson Heights","Queens | Bronx | Westchester","51","Find official domain, then audit careers/jobs pages for detailed solar offers.","bliss solar","blisssolar.com","https://blisssolar.com","Bliss Solar","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Plankton Energy","plankton energy","5","1","5","2026-04-02","2026-05-05","New York | Bronx | Elmsford | Poughkeepsie","New York | Bronx | Westchester | Dutchess","28","Find official domain, then audit careers/jobs pages for detailed solar offers.","plankton energy","planktonenergy.com","https://planktonenergy.com","Plankton Energy","","candidate_found","","https://planktonenergy.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
